+-------+--------+------------------------------------------+------------+----------+----------+------------+
|  PID  | Parent |                   Name                   |   State    |  Memory  | #Threads | Open Files |
| 182   | 0      | nvme-delete-wq                           | idle       | 0      K | 1        | 0          |
| 183   | 0      | ipv6_addrconf                            | idle       | 0      K | 1        | 0          |
| 194   | 0      | kstrp                                    | idle       | 0      K | 1        | 0          |
| 211   | 0      | charger_manager                          | idle       | 0      K | 1        | 0          |
| 242   | 0      | ata_sff                                  | idle       | 0      K | 1        | 0          |
| 245   | 0      | scsi_eh_0                                | sleeping   | 0      K | 1        | 0          |
| 246   | 0      | scsi_tmf_0                               | idle       | 0      K | 1        | 0          |
| 247   | 0      | scsi_eh_1                                | sleeping   | 0      K | 1        | 0          |
| 248   | 0      | scsi_tmf_1                               | idle       | 0      K | 1        | 0          |
| 249   | 0      | scsi_eh_2                                | sleeping   | 0      K | 1        | 0          |
| 250   | 0      | scsi_tmf_2                               | idle       | 0      K | 1        | 0          |
| 251   | 0      | scsi_eh_3                                | sleeping   | 0      K | 1        | 0          |
| 252   | 0      | scsi_tmf_3                               | idle       | 0      K | 1        | 0          |
| 253   | 0      | scsi_eh_4                                | sleeping   | 0      K | 1        | 0          |
| 254   | 0      | scsi_tmf_4                               | idle       | 0      K | 1        | 0          |
| 268   | 0      | kworker/0:1H-kblockd                     | idle       | 0      K | 1        | 0          |
| 269   | 0      | kworker/7:1H-kblockd                     | idle       | 0      K | 1        | 0          |
| 278   | 0      | kworker/5:1H-events_highpri              | idle       | 0      K | 1        | 0          |
| 281   | 0      | kworker/u17:0-hci0                       | idle       | 0      K | 1        | 0          |
| 284   | 0      | kworker/4:1H-kblockd                     | idle       | 0      K | 1        | 0          |
| 285   | 0      | jbd2/sdb6-8                              | sleeping   | 0      K | 1        | 0          |
| 286   | 0      | ext4-rsv-conver                          | idle       | 0      K | 1        | 0          |
| 291   | 0      | kworker/2:1H-events_highpri              | idle       | 0      K | 1        | 0          |
| 292   | 0      | kworker/3:1H-events_highpri              | idle       | 0      K | 1        | 0          |
| 296   | 0      | kworker/6:1H-events_highpri              | idle       | 0      K | 1        | 0          |
| 315   | 0      | systemd-journal                          | sleeping   | 124976 K | 1        | 67         |
| 324   | 0      | lvmetad                                  | sleeping   | 1160   K | 1        | 5          |
| 326   | 0      | systemd-udevd                            | sleeping   | 8264   K | 1        | 14         |
| 328   | 0      | kworker/1:1H-kblockd                     | idle       | 0      K | 1        | 0          |
| 330   | 0      | iprt-VBoxWQueue                          | idle       | 0      K | 1        | 0          |
| 353   | 0      | iprt-VBoxTscThr                          | sleeping   | 0      K | 1        | 0          |
| 392   | 0      | irq/31-smo8800                           | sleeping   | 0      K | 1        | 0          |
| 428   | 0      | kmemstick                                | idle       | 0      K | 1        | 0          |
| 488   | 0      | cfg80211                                 | idle       | 0      K | 1        | 0          |
| 543   | 0      | jbd2/sda1-8                              | sleeping   | 0      K | 1        | 0          |
| 544   | 0      | ext4-rsv-conver                          | idle       | 0      K | 1        | 0          |
| 548   | 0      | irq/134-iwlwifi                          | sleeping   | 0      K | 1        | 0          |
| 599   | 0      | systemd-timesyn                          | sleeping   | 7164   K | 2        | 16         |
| 601   | 0      | irq/51-DLL07B0:                          | sleeping   | 0      K | 1        | 0          |
| 603   | 0      | haveged                                  | sleeping   | 4748   K | 1        | 5          |
| 651   | 0      | i915/signal:0                            | sleeping   | 0      K | 1        | 0          |
| 652   | 0      | i915/signal:1                            | sleeping   | 0      K | 1        | 0          |
| 653   | 0      | i915/signal:2                            | sleeping   | 0      K | 1        | 0          |
| 654   | 0      | i915/signal:6                            | sleeping   | 0      K | 1        | 0          |
| 669   | 0      | avahi-daemon                             | sleeping   | 3556   K | 1        | 17         |
| 670   | 0      | systemd-logind                           | sleeping   | 7468   K | 1        | 30         |
| 671   | 0      | ModemManager                             | sleeping   | 9932   K | 3        | 10         |
| 672   | 0      | bumblebeed                               | sleeping   | 3248   K | 1        | 4          |
| 673   | 0      | dbus-daemon                              | sleeping   | 5876   K | 1        | 55         |
| 674   | 0      | NetworkManager                           | sleeping   | 23392  K | 4        | 23         |
| 747   | 669    | avahi-daemon                             | sleeping   | 336    K | 1        | 6          |
| 748   | 0      | polkitd                                  | sleeping   | 21928  K | 16       | 11         |
| 754   | 0      | lightdm                                  | sleeping   | 6920   K | 3        | 14         |
| 846   | 0      | bluetoothd                               | sleeping   | 5564   K | 1        | 33         |
| 849   | 0      | wpa_supplicant                           | sleeping   | 7844   K | 1        | 16         |
| 858   | 0      | accounts-daemon                          | sleeping   | 7084   K | 3        | 8          |
| 866   | 754    | Xorg                                     | sleeping   | 133992 K | 3        | 98         |
| 884   | 754    | lightdm                                  | sleeping   | 8220   K | 3        | 11         |
| 891   | 0      | systemd                                  | sleeping   | 9056   K | 1        | 30         |
| 892   | 891    | (sd-pam)                                 | sleeping   | 2724   K | 1        | 7          |
| 900   | 0      | gnome-keyring-d                          | sleeping   | 17724  K | 4        | 15         |
| 903   | 884    | startdde                                 | sleeping   | 26636  K | 31       | 22         |
| 908   | 891    | dbus-daemon                              | sleeping   | 5624   K | 1        | 70         |
| 934   | 903    | deepin-wm                                | sleeping   | 525544 K | 14       | 19         |
| 938   | 891    | gvfsd                                    | sleeping   | 7456   K | 3        | 9          |
| 943   | 891    | gvfsd-fuse                               | sleeping   | 6128   K | 6        | 10         |
| 945   | 0      | upowerd                                  | sleeping   | 9688   K | 3        | 12         |
| 972   | 903    | dde-session-dae                          | sleeping   | 150020 K | 39       | 72         |
| 974   | 891    | pulseaudio                               | sleeping   | 13632  K | 3        | 53         |
| 975   | 0      | rtkit-daemon                             | sleeping   | 2836   K | 3        | 7          |
| 989   | 891    | at-spi-bus-laun                          | sleeping   | 6340   K | 4        | 10         |
| 995   | 989    | dbus-daemon                              | sleeping   | 3956   K | 1        | 23         |
| 997   | 891    | at-spi2-registr                          | sleeping   | 7216   K | 3        | 9          |
| 1002  | 903    | dde-dock                                 | sleeping   | 87888  K | 7        | 23         |
| 1010  | 903    | dde-desktop                              | sleeping   | 96092  K | 9        | 26         |
| 1035  | 0      | dde-system-daem                          | sleeping   | 23520  K | 18       | 44         |
| 1045  | 974    | gsettings-helpe                          | sleeping   | 6992   K | 4        | 8          |
| 1064  | 0      | krfcommd                                 | sleeping   | 0      K | 1        | 0          |
| 1068  | 891    | bamfdaemon                               | sleeping   | 50480  K | 3        | 12         |
| 1073  | 891    | dconf-service                            | sleeping   | 5548   K | 3        | 7          |
| 1129  | 903    | python3                                  | sleeping   | 11868  K | 1        | 6          |
| 1130  | 903    | agent                                    | sleeping   | 4756   K | 3        | 8          |
| 1135  | 903    | nm-applet                                | sleeping   | 42764  K | 4        | 13         |
| 1144  | 903    | blueberry-obex-                          | sleeping   | 39876  K | 4        | 15         |
| 1173  | 891    | obexd                                    | sleeping   | 6736   K | 1        | 8          |
| 1175  | 0      | dde-file-manage                          | sleeping   | 40088  K | 3        | 11         |
| 1179  | 0      | udisksd                                  | sleeping   | 13232  K | 5        | 15         |
| 1210  | 1129   | libinput-debug-                          | sleeping   | 3884   K | 1        | 6          |
| 1222  | 891    | gvfs-udisks2-vo                          | sleeping   | 11468  K | 3        | 11         |
| 1228  | 891    | gvfs-goa-volume                          | sleeping   | 6228   K | 3        | 7          |
| 1232  | 891    | goa-daemon                               | sleeping   | 60140  K | 4        | 17         |
| 1239  | 891    | goa-identity-se                          | sleeping   | 7788   K | 4        | 8          |
| 1244  | 891    | gvfs-mtp-volume                          | sleeping   | 5456   K | 3        | 8          |
| 1251  | 1232   | pxgsettings                              | sleeping   | 6360   K | 4        | 8          |
| 1265  | 0      | blueberry-tray                           | sleeping   | 48964  K | 5        | 17         |
| 1272  | 1265   | python3                                  | sleeping   | 9320   K | 1        | 3          |
| 1273  | 1272   | rfkill                                   | sleeping   | 808    K | 1        | 4          |
| 1284  | 903    | dde-polkit-agen                          | sleeping   | 36540  K | 6        | 18         |
| 1297  | 903    | applet.py                                | sleeping   | 34228  K | 1        | 9          |
| 1302  | 0      | cupsd                                    | sleeping   | 8164   K | 1        | 11         |
| 1314  | 903    | deja-dup-monito                          | sleeping   | 34076  K | 4        | 11         |
| 1326  | 903    | chromium                                 | sleeping   | 408604 K | 34       | 280        |
| 1328  | 1326   | chrome-sandbox                           | sleeping   | 728    K | 1        | 5          |
| 1329  | 1328   | chromium                                 | sleeping   | 87508  K | 1        | 13         |
| 1331  | 1329   | chromium                                 | sleeping   | 13936  K | 1        | 14         |
| 1357  | 1326   | chromium                                 | sleeping   | 202100 K | 8        | 54         |
| 1393  | 1331   | chromium                                 | sleeping   | 118964 K | 13       | 37         |
| 1426  | 1331   | chromium                                 | sleeping   | 193320 K | 13       | 37         |
| 1442  | 1331   | chromium                                 | sleeping   | 87868  K | 13       | 32         |
| 1445  | 1331   | chromium                                 | sleeping   | 75416  K | 13       | 32         |
| 12722 | 0      | kworker/5:0-cgroup_destroy               | idle       | 0      K | 1        | 0          |
| 17103 | 1331   | chromium                                 | sleeping   | 220588 K | 16       | 50         |
| 18961 | 0      | kworker/4:0-mm_percpu_wq                 | idle       | 0      K | 1        | 0          |
